RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2135/2103 POM_5V_GPU 0/0 POM_5V_CPU 798/630
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2131/2104 POM_5V_GPU 0/0 POM_5V_CPU 798/633
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2131/2104 POM_5V_GPU 0/0 POM_5V_CPU 799/636
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2131/2105 POM_5V_GPU 0/0 POM_5V_CPU 799/639
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2087/2104 POM_5V_GPU 0/0 POM_5V_CPU 799/642
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2087/2104 POM_5V_GPU 0/0 POM_5V_CPU 799/645
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2087/2104 POM_5V_GPU 0/0 POM_5V_CPU 799/648
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2087/2103 POM_5V_GPU 0/0 POM_5V_CPU 799/650
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [50%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2087/2103 POM_5V_GPU 0/0 POM_5V_CPU 799/653
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2043/2102 POM_5V_GPU 0/0 POM_5V_CPU 799/655
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2043/2101 POM_5V_GPU 0/0 POM_5V_CPU 799/658
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@26.5C POM_5V_IN 2043/2100 POM_5V_GPU 0/0 POM_5V_CPU 799/660
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@26.5C POM_5V_IN 2043/2099 POM_5V_GPU 0/0 POM_5V_CPU 755/661
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2043/2098 POM_5V_GPU 0/0 POM_5V_CPU 755/663
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@26.5C POM_5V_IN 2043/2098 POM_5V_GPU 0/0 POM_5V_CPU 755/664
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2043/2097 POM_5V_GPU 0/0 POM_5V_CPU 755/666
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2087/2097 POM_5V_GPU 0/0 POM_5V_CPU 755/667
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,100%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2084/2096 POM_5V_GPU 0/0 POM_5V_CPU 755/668
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@26.5C POM_5V_IN 2084/2096 POM_5V_GPU 0/0 POM_5V_CPU 710/669
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2084/2096 POM_5V_GPU 0/0 POM_5V_CPU 710/669
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [50%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2084/2096 POM_5V_GPU 0/0 POM_5V_CPU 710/670
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2084/2096 POM_5V_GPU 0/0 POM_5V_CPU 710/671
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 2128/2096 POM_5V_GPU 0/0 POM_5V_CPU 710/671
